id_maison,nb_chambre,nb_wc,surface,date_creation,type,équipement,price
622,3,1,1647.0,5/5/2005,villa,balcon,"€1209,21"
623,2,2,2170.0,6/23/2003,duplex,,"€1972,81"
624,2,2,1171.0,12/19/2015,villa,,"€430,23"
625,2,1,,7/6/2005,detached house,climatisation,"€1772,05"
626,1,2,3482.0,5/25/2017,villa,parking,"€794,13"
627,1,2,3695.0,10/27/2020,studio,,"€1339,90"
628,2,1,2792.0,7/10/2013,villa,,"€401,46"
629,1,3,542.0,7/10/2013,apartment,climatisation,"€1186,79"
630,3,2,3352.0,4/8/2014,detached house,climatisation,"€1375,31"
631,3,3,1255.0,8/25/2018,villa,,"€1870,42"
632,1,1,3231.0,3/7/2008,duplex,balcon,"€1470,75"
633,4,3,605.0,1/3/2012,duplex,,"€892,79"
634,1,3,4354.0,7/9/2017,,,"€1124,24"
635,4,2,1592.0,4/22/2005,duplex,,"€1725,09"
636,3,1,3442.0,4/28/2016,villa,,"€717,37"
637,4,1,4329.0,7/4/2015,apartment,,"€1903,18"
638,3,1,3019.0,6/18/2011,apartment,climatisation,"€929,31"
639,4,2,4726.0,1/7/2004,duplex,,"€1676,02"
640,2,2,4085.0,8/29/2009,studio,,"€1676,73"
641,2,1,1314.0,3/19/2013,apartment,,"€977,65"
642,4,2,3151.0,10/10/2018,villa,,"€1392,53"
643,4,1,4585.0,1/9/2017,studio,,"€1807,07"
644,4,2,1869.0,1/10/2003,duplex,,"€1743,46"
645,4,2,1054.0,2/27/2012,villa,,"€1767,95"
646,4,2,774.0,6/17/2008,apartment,,"€1310,92"
647,2,3,4784.0,7/23/2006,detached house,,"€1342,92"
648,2,1,3072.0,2/29/2020,detached house,,"€1866,40"
649,1,1,3984.0,4/6/2006,villa,Internet,"€1429,89"
650,1,2,510.0,3/23/2018,apartment,Internet,"€1626,22"
651,4,1,3693.0,10/13/2003,detached house,,"€1601,42"
652,4,2,3536.0,11/8/2011,studio,,"€996,48"
653,2,1,4655.0,6/3/2012,duplex,,"€626,14"
654,2,1,2660.0,8/25/2014,villa,,"€1423,93"
655,4,1,1007.0,1/22/2008,detached house,balcon,"€1889,64"
656,3,2,3673.0,10/27/2017,,balcon,"€1800,08"
657,2,2,2343.0,9/22/2020,detached house,climatisation,"€1735,71"
658,2,2,2002.0,7/31/2005,apartment,,"€1301,35"
659,2,3,4342.0,8/15/2011,apartment,climatisation,"€1802,46"
660,4,2,4597.0,8/29/2019,detached house,climatisation,"€846,45"
661,3,1,4591.0,3/21/2004,detached house,,"€1817,17"
662,2,3,2168.0,6/8/2012,studio,,"€1298,95"
663,2,1,1678.0,1/10/2014,studio,climatisation,"€1880,91"
664,3,2,2335.0,11/25/2014,duplex,parking,"€1786,98"
665,2,3,1951.0,1/27/2010,duplex,,"€1907,39"
666,4,3,1491.0,9/19/2020,apartment,,"€599,07"
667,3,2,1881.0,3/17/2019,duplex,,"€879,49"
668,3,1,1552.0,5/4/2007,villa,balcon,"€642,76"
669,2,3,2835.0,12/5/2019,studio,climatisation,"€937,48"
670,2,2,3044.0,12/13/2017,apartment,,"€1822,10"
671,4,2,2603.0,4/22/2015,duplex,,"€466,45"
672,1,1,2631.0,8/31/2003,studio,,"€549,83"
673,4,1,4049.0,10/12/2004,duplex,,"€776,19"
674,1,1,3261.0,12/21/2012,apartment,,"€756,83"
675,2,2,,2/23/2013,duplex,,"€1362,19"
676,3,3,1507.0,3/30/2008,villa,Internet,"€1834,48"
677,4,1,3943.0,10/28/2016,studio,,"€1672,00"
678,2,2,1462.0,9/28/2019,detached house,balcon,"€1436,95"
679,4,1,3059.0,11/22/2013,studio,Internet,"€1778,63"
680,4,1,2584.0,7/27/2016,duplex,,"€1830,33"
681,4,2,1553.0,3/16/2008,detached house,,"€519,74"
682,1,2,1551.0,3/11/2015,villa,,"€1745,99"
683,3,1,2923.0,8/29/2015,villa,,"€662,44"
684,4,1,2984.0,12/16/2005,studio,,"€1579,38"
685,3,3,2369.0,12/3/2016,villa,climatisation,"€983,60"
686,3,2,3086.0,6/19/2003,villa,,"€1977,21"
687,1,1,1663.0,1/8/2015,detached house,,"€1194,08"
688,2,1,905.0,10/4/2015,apartment,,"€749,63"
689,4,3,3028.0,8/17/2006,villa,climatisation,"€1181,33"
690,2,2,3267.0,6/9/2007,studio,parking,"€1576,25"
691,4,3,4158.0,7/30/2018,studio,,"€925,79"
692,3,3,3871.0,11/11/2010,studio,,"€1994,41"
693,2,3,3206.0,9/10/2017,studio,climatisation,"€1165,84"
694,4,3,1465.0,4/14/2014,duplex,climatisation,"€1177,68"
695,4,1,1173.0,8/6/2007,studio,,"€1819,40"
696,1,2,4294.0,9/26/2005,studio,,"€1300,64"
697,4,2,1057.0,7/4/2005,detached house,,"€1216,85"
698,1,2,1967.0,12/19/2015,studio,Internet,"€625,77"
699,3,1,1218.0,7/5/2012,detached house,parking,"€1428,47"
700,2,3,3144.0,11/10/2012,villa,,"€1336,86"
701,4,3,1803.0,6/19/2012,apartment,Internet,"€1595,48"
702,3,3,2212.0,4/30/2007,apartment,balcon,"€1408,84"
703,1,1,3922.0,12/1/2017,apartment,,"€1014,58"
704,2,3,,7/11/2016,studio,,"€1300,63"
705,2,2,3438.0,10/8/2008,villa,parking,"€802,21"
706,4,1,2664.0,11/16/2009,villa,balcon,"€625,24"
707,3,2,4250.0,8/22/2006,duplex,,"€1242,22"
708,3,2,3409.0,2/19/2019,apartment,,"€1965,29"
709,3,3,4270.0,8/2/2013,studio,balcon,"€472,35"
710,4,2,4917.0,8/16/2015,detached house,Internet,"€1210,57"
711,3,3,2930.0,9/30/2017,studio,balcon,"€699,08"
712,4,2,3982.0,7/14/2004,villa,parking,"€624,02"
713,1,1,2476.0,1/29/2019,apartment,,"€1915,86"
714,1,2,1923.0,4/3/2018,villa,,"€1045,16"
715,4,2,2118.0,12/3/2014,studio,balcon,"€482,92"
716,4,2,1097.0,5/8/2003,duplex,,"€957,81"
717,2,3,4363.0,7/17/2014,duplex,,"€730,07"
718,1,2,,12/4/2003,detached house,,"€1780,70"
719,3,2,3218.0,9/1/2009,detached house,,"€782,22"
720,4,2,4252.0,10/28/2011,villa,climatisation,"€1240,36"
721,4,1,1060.0,4/7/2008,villa,,"€1653,17"
722,3,3,3049.0,7/27/2011,villa,,"€837,34"
723,4,1,547.0,10/11/2004,duplex,climatisation,"€565,07"
724,1,3,4746.0,3/26/2007,apartment,Internet,"€479,07"
725,3,3,3399.0,3/15/2008,duplex,balcon,"€457,54"
726,3,3,3209.0,4/2/2010,duplex,Internet,"€863,66"
727,4,3,4073.0,11/8/2012,studio,,"€1804,55"
728,2,1,,11/16/2020,apartment,balcon,"€992,59"
729,3,1,4190.0,3/28/2004,apartment,balcon,"€1279,37"
730,3,1,1120.0,4/18/2008,detached house,balcon,"€419,99"
731,2,3,1091.0,10/14/2015,apartment,,"€1231,05"
732,2,3,1009.0,1/22/2007,duplex,,"€658,51"
733,1,3,3949.0,1/28/2003,studio,balcon,"€1426,55"
734,4,3,4336.0,11/25/2011,,,"€1936,83"
735,1,1,1982.0,2/20/2018,detached house,,"€786,08"
736,1,2,4771.0,6/3/2006,duplex,climatisation,"€645,37"
737,2,1,678.0,10/21/2009,studio,,"€478,78"
738,3,1,2311.0,5/8/2017,duplex,,"€787,20"
739,2,2,2566.0,5/2/2014,apartment,,"€1710,96"
740,2,3,1686.0,8/11/2010,duplex,,"€1083,82"
741,4,3,1556.0,1/2/2007,villa,balcon,"€1006,58"
742,1,1,3751.0,4/5/2008,duplex,climatisation,"€1946,70"
743,1,1,1623.0,5/11/2020,duplex,,"€463,60"
744,3,1,2237.0,11/24/2007,detached house,,"€1953,86"
745,4,3,4570.0,12/16/2019,apartment,balcon,"€900,88"
746,1,1,3365.0,9/10/2018,studio,,"€789,17"
747,3,1,2301.0,2/29/2016,detached house,climatisation,"€1628,90"
748,1,2,4685.0,4/1/2013,villa,parking,"€611,92"
749,3,3,4677.0,11/18/2015,apartment,,"€985,09"
750,4,2,4084.0,2/7/2004,detached house,,"€795,40"
751,2,2,4369.0,3/11/2010,duplex,,"€1943,70"
752,3,2,1890.0,6/20/2005,studio,,"€1496,98"
753,3,3,2230.0,3/6/2019,villa,Internet,"€1155,82"
754,4,2,1772.0,4/20/2018,duplex,,"€1169,17"
755,2,3,3945.0,4/1/2009,duplex,,"€1716,05"
756,1,3,4474.0,1/14/2003,duplex,,"€805,19"
757,2,3,4010.0,2/2/2014,detached house,,"€778,55"
758,4,3,4557.0,6/26/2004,detached house,,"€981,14"
759,4,3,700.0,12/5/2013,apartment,,"€1070,56"
760,4,1,1943.0,3/1/2011,duplex,parking,"€1492,17"
761,1,2,4521.0,10/8/2006,studio,climatisation,"€800,98"
762,1,1,2373.0,7/10/2018,studio,,"€1276,91"
763,1,1,4154.0,11/29/2012,duplex,,"€1046,39"
764,3,3,4014.0,8/16/2012,duplex,,"€1507,94"
765,1,2,4262.0,4/16/2003,duplex,climatisation,"€1124,86"
766,4,3,2857.0,6/10/2010,apartment,climatisation,"€1787,74"
767,4,3,4721.0,2/5/2018,apartment,parking,"€1297,55"
768,2,2,4177.0,4/3/2011,duplex,Internet,"€971,86"
769,4,2,787.0,12/19/2016,apartment,,"€1973,43"
770,1,1,3068.0,12/15/2003,villa,,"€534,10"
771,4,3,2769.0,1/27/2014,studio,climatisation,"€1898,83"
772,2,2,1489.0,3/7/2015,detached house,,"€1115,09"
773,1,1,1176.0,7/1/2020,detached house,,"€1517,45"
774,3,3,4816.0,11/16/2003,villa,Internet,"€413,18"
775,3,1,4363.0,9/8/2007,apartment,climatisation,"€869,65"
776,3,2,4320.0,10/27/2018,apartment,,"€1763,63"
777,3,2,1814.0,9/23/2004,villa,,"€1290,73"
778,2,3,4941.0,10/23/2006,studio,,"€724,15"
779,1,3,3573.0,7/28/2006,detached house,,"€1199,80"
780,3,3,2743.0,6/5/2015,apartment,,"€1789,03"
781,2,3,4441.0,5/26/2007,duplex,balcon,"€817,17"
782,1,1,4457.0,11/8/2010,studio,,"€1443,41"
783,2,3,2471.0,8/21/2010,detached house,,"€1638,93"
784,1,2,3710.0,6/25/2015,studio,climatisation,"€908,51"
785,4,3,2073.0,10/15/2004,villa,balcon,"€858,43"
786,2,1,4829.0,2/4/2006,duplex,balcon,"€1812,01"
787,2,2,2344.0,1/7/2016,villa,balcon,"€563,20"
788,4,3,3975.0,9/25/2005,studio,parking,"€639,20"
789,2,3,900.0,1/5/2016,apartment,parking,"€886,84"
790,4,1,1774.0,1/21/2008,duplex,balcon,"€820,15"
791,1,2,,3/18/2008,studio,,"€1133,12"
792,2,3,616.0,11/29/2006,duplex,,"€966,95"
793,2,3,1005.0,2/29/2004,duplex,climatisation,"€1227,81"
794,2,3,3893.0,8/22/2016,studio,Internet,"€1658,94"
795,4,2,1903.0,9/21/2014,villa,,"€636,35"
796,4,2,1846.0,4/18/2015,apartment,,"€1609,84"
797,1,1,960.0,9/18/2007,villa,Internet,"€1468,99"
798,4,2,1060.0,3/26/2008,studio,climatisation,"€1974,18"
799,2,3,3958.0,7/31/2003,apartment,,"€1864,01"
800,1,2,3480.0,5/16/2007,duplex,,"€1174,04"
801,3,3,3607.0,5/27/2007,duplex,balcon,"€1250,24"
802,4,3,3892.0,11/26/2018,duplex,parking,"€1300,63"
803,4,3,787.0,10/4/2003,villa,,"€1789,36"
804,1,3,2844.0,6/21/2013,studio,,"€1205,90"
805,2,1,,2/8/2004,duplex,balcon,"€1574,63"
806,2,3,1459.0,8/18/2014,duplex,,"€673,40"
807,3,3,3781.0,12/13/2017,apartment,,"€1028,79"
808,3,2,4979.0,8/27/2019,detached house,,"€1889,35"
809,2,2,2588.0,3/23/2016,villa,,"€1248,50"
810,4,2,4397.0,2/10/2004,studio,,"€909,67"
811,4,1,2297.0,10/5/2013,villa,,"€1760,09"
812,2,2,3830.0,8/16/2006,detached house,parking,"€1578,90"
813,2,3,1392.0,6/15/2016,duplex,,"€1875,77"
814,3,3,4721.0,8/21/2007,apartment,,"€975,21"
815,2,3,922.0,7/11/2008,duplex,,"€1679,27"
816,4,3,1108.0,5/27/2018,apartment,,"€1152,10"
817,3,1,3131.0,4/3/2006,villa,climatisation,"€950,46"
818,1,1,4899.0,9/14/2005,duplex,,"€435,26"
819,2,2,1705.0,10/15/2015,villa,parking,"€1895,97"
820,3,2,4407.0,11/11/2020,studio,,"€610,28"
821,2,2,1808.0,8/18/2009,studio,climatisation,"€1864,47"
822,3,1,1381.0,4/5/2014,villa,,"€1440,40"
823,1,1,4775.0,9/22/2020,villa,,"€1693,51"
824,2,1,3275.0,7/11/2018,duplex,,"€463,23"
825,4,1,886.0,5/20/2007,duplex,Internet,"€791,48"
826,2,3,4833.0,10/6/2017,villa,,"€1430,05"
827,3,1,1847.0,5/30/2011,apartment,,"€587,88"
828,4,2,4654.0,11/14/2011,studio,,"€1805,80"
829,3,2,3875.0,10/29/2010,detached house,,"€443,17"
830,3,1,1339.0,7/17/2007,villa,,"€626,64"
831,2,1,2555.0,4/23/2009,apartment,climatisation,"€631,52"
832,3,2,2107.0,3/9/2015,apartment,Internet,"€522,24"
833,2,3,1272.0,4/10/2014,apartment,parking,"€1373,44"
834,2,3,4649.0,1/8/2019,apartment,,"€1724,78"
835,4,2,4635.0,5/5/2020,villa,,"€1217,25"
836,1,2,1141.0,2/12/2016,detached house,,"€1543,63"
837,3,3,4076.0,11/17/2019,apartment,balcon,"€1862,47"
838,3,3,2282.0,1/20/2003,apartment,parking,"€681,65"
839,4,1,2360.0,6/26/2010,duplex,,"€1615,29"
840,1,1,1787.0,11/1/2005,detached house,,"€957,49"
841,1,2,3293.0,9/27/2017,villa,climatisation,"€1209,02"
842,2,3,3981.0,7/4/2018,,parking,"€1664,62"
843,1,1,3419.0,6/13/2018,villa,,"€1725,36"
844,4,1,1877.0,6/17/2005,villa,Internet,"€490,00"
845,2,2,3385.0,10/17/2004,detached house,,"€1976,52"
846,1,3,4429.0,5/24/2013,villa,,"€1758,29"
847,1,1,2549.0,8/17/2018,studio,,"€565,52"
848,3,3,3674.0,9/16/2006,villa,,"€1176,47"
849,3,2,1029.0,8/13/2016,detached house,,"€1121,90"
850,4,3,,1/22/2012,studio,,"€571,86"
851,2,2,4773.0,8/14/2015,villa,,"€1573,85"
852,4,1,4227.0,6/10/2008,studio,,"€840,84"
853,3,2,4514.0,7/17/2017,villa,,"€822,16"
854,2,3,4776.0,7/26/2011,studio,climatisation,"€1433,98"
855,1,1,3222.0,1/19/2009,villa,,"€1892,49"
856,2,1,2177.0,7/29/2017,detached house,,"€1291,37"
857,1,2,1146.0,6/12/2006,apartment,,"€814,44"
858,1,1,3058.0,4/13/2013,villa,parking,"€1796,52"
859,4,1,3488.0,12/18/2002,detached house,,"€905,91"
860,2,3,1638.0,7/13/2015,villa,,"€1784,87"
861,4,1,2868.0,2/26/2013,detached house,,"€473,90"
862,3,3,4978.0,12/26/2005,apartment,,"€437,16"
863,2,2,1063.0,8/29/2017,villa,,"€1803,40"
864,3,2,937.0,10/27/2015,,Internet,"€883,83"
865,2,1,1359.0,4/19/2013,apartment,,"€1132,06"
866,2,2,2972.0,11/6/2009,duplex,,"€904,12"
867,1,1,3975.0,3/31/2014,studio,,"€566,59"
868,4,1,3136.0,3/6/2012,detached house,,"€409,36"
869,3,2,3509.0,11/21/2012,detached house,climatisation,"€484,34"
870,4,3,563.0,3/12/2015,villa,,"€1002,92"
871,4,2,1109.0,3/19/2005,studio,balcon,"€1787,19"
872,4,2,4554.0,1/8/2011,studio,,"€1996,64"
873,3,1,3979.0,7/12/2019,detached house,parking,"€1939,90"
874,1,3,4176.0,8/10/2017,apartment,parking,"€883,33"
875,1,3,3883.0,11/26/2019,villa,climatisation,"€885,24"
876,2,3,1983.0,2/29/2012,studio,,"€1863,92"
877,1,1,2399.0,10/18/2016,duplex,,"€1533,02"
878,2,2,1349.0,6/20/2005,duplex,,"€849,61"
879,1,2,2672.0,11/8/2020,studio,,"€1422,74"
880,2,3,3738.0,6/30/2011,villa,,"€1260,51"
881,3,1,,6/16/2012,villa,,"€1741,60"
882,3,2,2545.0,3/5/2009,duplex,,"€1406,08"
883,1,3,2080.0,9/30/2006,studio,,"€680,89"
884,4,1,2086.0,6/10/2004,studio,,"€727,45"
885,4,2,4184.0,12/26/2013,studio,Internet,"€1422,20"
886,1,3,649.0,6/6/2006,studio,,"€1598,06"
887,3,3,2717.0,12/23/2002,apartment,balcon,"€590,66"
888,2,3,3893.0,9/22/2019,villa,,"€967,62"
889,2,1,609.0,11/19/2018,studio,parking,"€1414,67"
890,3,1,1867.0,12/29/2007,apartment,,"€1495,98"
891,2,2,763.0,4/30/2007,detached house,,"€1147,09"
892,3,1,,7/1/2008,duplex,,"€1362,02"
893,1,1,3966.0,9/21/2007,apartment,parking,"€1975,81"
894,2,2,3232.0,2/18/2019,studio,,"€723,81"
895,4,2,1065.0,11/29/2009,duplex,,"€1624,98"
896,2,2,1857.0,2/14/2020,apartment,,"€1623,74"
897,2,3,4369.0,5/10/2004,duplex,,"€1121,40"
898,3,3,817.0,9/24/2019,detached house,climatisation,"€1213,54"
899,1,2,3015.0,9/1/2005,apartment,,"€1230,23"
900,2,3,4972.0,7/25/2005,detached house,,"€1824,86"
901,3,2,3361.0,12/28/2018,villa,climatisation,"€1537,32"
902,4,1,1205.0,10/11/2006,villa,climatisation,"€973,48"
903,2,2,2628.0,6/12/2004,detached house,,"€1326,02"
904,1,3,3239.0,4/2/2009,apartment,,"€1515,78"
905,2,1,1683.0,3/19/2009,,,"€435,27"
906,3,3,3636.0,3/10/2006,studio,climatisation,"€826,33"
907,4,1,2127.0,8/6/2018,duplex,,"€1058,05"
908,1,2,,2/20/2012,apartment,parking,"€1252,50"
909,2,3,2696.0,1/8/2008,studio,,"€1410,40"
910,4,3,,11/21/2014,duplex,,"€1932,59"
911,2,2,906.0,1/3/2008,apartment,,"€964,78"
912,2,3,4778.0,4/25/2013,studio,,"€1383,37"
913,1,2,821.0,8/22/2008,studio,,"€1915,87"
914,3,1,4573.0,3/26/2010,villa,,"€650,55"
915,3,2,1357.0,2/11/2014,duplex,,"€1607,74"
916,4,1,2141.0,2/5/2018,studio,,"€761,07"
917,3,1,2153.0,2/22/2006,villa,,"€1953,20"
918,2,2,1316.0,5/18/2007,apartment,,"€1116,48"
919,2,2,1047.0,7/23/2007,detached house,,"€1073,91"
920,3,2,2715.0,12/4/2007,duplex,,"€1141,12"
921,1,3,3293.0,9/25/2016,villa,parking,"€1480,56"
922,4,2,4998.0,1/28/2020,duplex,,"€1634,76"
923,2,3,4384.0,11/20/2010,,,"€1901,94"
924,4,3,1960.0,2/20/2020,,,"€693,84"
925,3,2,1046.0,7/6/2005,studio,,"€490,92"
926,4,3,908.0,8/31/2010,apartment,,"€789,56"
927,4,2,1451.0,7/18/2011,duplex,balcon,"€1151,82"
928,1,1,2244.0,11/26/2019,apartment,,"€1942,11"
929,1,2,2543.0,3/29/2005,studio,,"€1889,25"
930,2,3,1885.0,3/3/2007,detached house,,"€488,93"
931,1,3,3590.0,5/11/2005,villa,,"€1445,62"
932,4,2,4701.0,9/22/2003,studio,,"€1929,67"
933,4,2,2740.0,2/18/2013,studio,climatisation,"€1990,18"
934,1,1,511.0,1/22/2020,duplex,,"€1007,05"
935,3,1,4534.0,8/15/2014,detached house,,"€646,73"
936,3,1,1325.0,5/9/2011,villa,,"€1579,08"
937,3,3,4347.0,4/23/2003,villa,parking,"€415,96"
938,4,3,4822.0,7/26/2007,apartment,,"€1947,69"
939,4,3,926.0,6/8/2008,villa,parking,"€1749,78"
940,4,2,4117.0,1/27/2020,villa,,"€876,56"
941,1,1,2386.0,4/28/2012,duplex,,"€1748,74"
942,1,1,688.0,1/29/2010,studio,climatisation,"€728,69"
943,1,2,3852.0,9/18/2007,duplex,,"€686,68"
944,3,1,3513.0,5/8/2004,detached house,,"€1478,32"
945,3,1,3487.0,3/5/2017,villa,,"€1026,67"
946,4,1,1602.0,2/22/2014,studio,,"€1635,27"
947,1,1,1664.0,8/5/2003,studio,,"€1549,57"
948,3,2,1670.0,2/21/2020,duplex,,"€508,35"
949,3,3,1784.0,4/14/2004,duplex,,"€1854,97"
